num_nodes,instance_type,alpha,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset

50,uniform,1,596.4090,528.8468,-67.5622,88.6718%,3020.42,1160.56,60.0093,23.1652,1859.86,595.16
50,uniform,2,596.4242,432.9285,-163.4957,72.5873%,4335.38,2071.24,60.0076,28.9044,2264.14,1413.5
50,uniform,3,596.3256,393.8822,-202.4434,66.0515%,4732.92,2059.88,60.0062,26.3951,2673.04,1229.12

100,uniform,1,783.6820,845.8727,62.1907,107.9357%,1243.5,1197.78,60.0263,57.7619,45.72,114.16
100,uniform,2,783.8251,682.3377,-101.4874,87.0523%,2032.74,1788.24,60.0154,52.8202,244.5,283.2
100,uniform,3,783.6901,622.9455,-160.7445,79.4888%,2276.14,1992.18,60.0126,52.4610,283.96,433.34

50,singlecenter,1,838.1919,689.7663,-148.4256,82.2922%,2841.12,1361.82,60.0119,29.0577,1479.3,700.88
50,singlecenter,2,838.1347,537.9041,-300.2306,64.1787%,4148.78,2013.48,60.0072,29.5319,2135.3,1126.14
50,singlecenter,3,838.1693,468.2305,-369.9388,55.8635%,4541.68,2381.2,60.0075,31.5718,2160.48,1185.72

100,singlecenter,1,1336.4124,1285.2333,-51.1791,96.1704%,1147.34,1091.68,60.0253,57.0477,55.66,101.1
100,singlecenter,2,1336.6838,1016.4039,-320.2799,76.0392%,1882.1,1705.86,60.0137,54.3995,176.24,227.3
100,singlecenter,3,1336.6114,906.8871,-429.7243,67.8497%,2146.12,1966.44,60.0148,55.0412,179.68,307.04

50,doublecenter,1,1277.4166,1062.0513,-215.3653,83.1406%,2884.32,1293.96,60.0100,27.0324,1590.36,618.38
50,doublecenter,2,1277.3954,833.2154,-444.1799,65.2277%,4194.94,1705.74,60.0067,24.7188,2489.2,984.6
50,doublecenter,3,1277.4275,740.5905,-536.8370,57.9751%,4530.7,2282.08,60.0060,30.4144,2248.62,1263.96

100,doublecenter,1,1768.6444,1884.9386,116.2942,106.5753%,1159.94,1119.5,60.0272,57.8821,40.44,97.4
100,doublecenter,2,1768.2339,1460.2136,-308.0203,82.5803%,1903.14,1731.74,60.0143,54.6129,171.4,244.96
100,doublecenter,3,1768.2816,1251.6110,-516.6706,70.7812%,2127.4,1907.54,60.0156,53.8080,219.86,355.6

