instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
uniform-78-n50,50,uniform,693.0922,7039,4863,41.62718,2176,2701
uniform-79-n50,50,uniform,643.2592,7038,2390.4,20.462004,4647.6,1069.4
uniform-74-n50,50,uniform,672.529,7079.8,3146.6,26.798976,3933.2,1943.2
uniform-71-n50,50,uniform,667.728,7051.6,4325,37.0502,2726.6,2875.2
uniform-73-n50,50,uniform,705.4794,7033.8,1731.4,15.055438,5302.4,865
uniform-76-n50,50,uniform,729.7128,7055.4,3829.2,32.65248,3226.2,1965
uniform-80-n50,50,uniform,635.0642,7069.6,2730,23.040362,4339.6,984.2
uniform-75-n50,50,uniform,691.9272,7042.8,2384.6,20.309142,4658.2,821.4
uniform-77-n50,50,uniform,703.992,7100.6,2898.4,24.486094,4202.2,1903
uniform-72-n50,50,uniform,680.8522,7000.4,3045.6,26.316978,3954.8,1247.4
uniform-98-n100,100,uniform,1090.806,4957.8,4187.8,50.68708,770,739
uniform-97-n100,100,uniform,1083.3082,4980.2,4590,55.245,390.2,603.2
uniform-100-n100,100,uniform,1077.116,4988.4,4420.2,53.255,568.2,678.8
uniform-92-n100,100,uniform,1044.9612,4975,4822.8,58.19562,152.2,565.8
uniform-94-n100,100,uniform,1059.96,4976,4250.8,51.01166,725.2,987
uniform-96-n100,100,uniform,1089.418,4968,4327.8,52.34746,640.2,747.6
uniform-95-n100,100,uniform,1132.036,5028.8,4117.6,49.20916,911.2,626.2
uniform-99-n100,100,uniform,1077.5402,5003.2,4868.4,58.4071,134.8,671
uniform-93-n100,100,uniform,1001.0386,4986.2,4315.6,52.05712,670.6,541.8
uniform-91-n100,100,uniform,1049.8772,4995.8,4124.6,49.53368,871.2,475.2
singlecenter-75-n50,50,singlecenter,1109,6932.6,2128,18.21384,4804.6,1215.2
singlecenter-74-n50,50,singlecenter,1045.444,7036.6,4259.6,36.642338,2777,2668.4
singlecenter-79-n50,50,singlecenter,912.4824,6985.4,2361.6,20.359062,4623.8,1101.8
singlecenter-72-n50,50,singlecenter,961.3614,6969.6,3135.6,26.89882,3834,1778
singlecenter-73-n50,50,singlecenter,698.93,7051.2,4368.4,37.273878,2682.8,2096.2
singlecenter-76-n50,50,singlecenter,1012.787,7008.6,2551.2,21.89367,4457.4,873.6
singlecenter-78-n50,50,singlecenter,1024.2926,6986,2780.8,24.283828,4205.2,1180
singlecenter-71-n50,50,singlecenter,826.4,7063.2,2824.6,24.05992,4238.6,1124.2
singlecenter-80-n50,50,singlecenter,1056.46,7024,2783.4,23.865396,4240.6,1486.2
singlecenter-77-n50,50,singlecenter,882.9248,6966.6,2987.2,25.775556,3979.4,1256.8
singlecenter-94-n100,100,singlecenter,1890.898,4951.6,4758,57.70226,193.6,1201.4
singlecenter-95-n100,100,singlecenter,1567.406,4982.4,4608,55.55004,374.4,741
singlecenter-100-n100,100,singlecenter,1534.078,5009.2,4771.6,57.11808,237.6,883.2
singlecenter-93-n100,100,singlecenter,1610.874,4978,4183,50.4202,795,434.2
singlecenter-99-n100,100,singlecenter,1375.788,5007.4,4338,52.04272,669.4,584
singlecenter-98-n100,100,singlecenter,1742.622,5024.2,4596.8,54.92228,427.4,782.8
singlecenter-97-n100,100,singlecenter,1676.832,5016.6,4592.8,54.96176,423.8,658.6
singlecenter-96-n100,100,singlecenter,1657.06,4985,4353.6,52.48794,631.4,518.2
singlecenter-92-n100,100,singlecenter,1748.696,4982.8,4169,50.18686,813.8,972
singlecenter-91-n100,100,singlecenter,1650.054,4960.4,4454.4,53.98416,506,1021.2
doublecenter-76-n50,50,doublecenter,1701.006,6994.2,2367.6,20.459076,4626.6,1152
doublecenter-78-n50,50,doublecenter,1617.988,6969.6,1318.2,11.392678,5651.4,539.2
doublecenter-71-n50,50,doublecenter,1535.41,6922.4,2402,21.001034,4520.4,1094
doublecenter-79-n50,50,doublecenter,1338.85,7024.4,3442.6,29.35204,3581.8,1822
doublecenter-80-n50,50,doublecenter,1525.668,7005,3924.2,33.75255,3080.8,2487.6
doublecenter-75-n50,50,doublecenter,1569.052,6944.8,4314.4,37.34116,2630.4,2613
doublecenter-73-n50,50,doublecenter,1365.632,7004,2309.8,19.804542,4694.2,1275.6
doublecenter-77-n50,50,doublecenter,1321.8,7005.4,1666.6,14.456962,5338.8,648.2
doublecenter-74-n50,50,doublecenter,1446.466,7009.6,2276.4,19.358908,4733.2,1317.8
doublecenter-72-n50,50,doublecenter,1472.026,6997.4,2873.6,24.76534,4123.8,1283
doublecenter-96-n100,100,doublecenter,2543.584,4969.4,4068,49.31084,901.4,415.4
doublecenter-95-n100,100,doublecenter,2532.234,4994.6,4821.2,57.9525,173.4,674
doublecenter-92-n100,100,doublecenter,2316.03,4944.2,4199.2,50.91896,745,653.6
doublecenter-100-n100,100,doublecenter,2640.962,4976.2,4483.4,54.16052,492.8,579.6
doublecenter-94-n100,100,doublecenter,2588.496,4954.6,4762.8,57.61324,191.8,433
doublecenter-91-n100,100,doublecenter,2438.912,4910.6,4076,49.91516,834.6,532.2
doublecenter-98-n100,100,doublecenter,2384.048,4987.2,4480.8,53.89962,506.4,1041.2
doublecenter-97-n100,100,doublecenter,2490.562,4950,4743,57.54948,207,840.2
doublecenter-93-n100,100,doublecenter,2244.186,4912.2,4304.6,52.76116,607.6,556.6
doublecenter-99-n100,100,doublecenter,2421.138,4918.2,4466.8,54.51642,451.4,691
